id,Titulo,Autor,Ubicacion,Colección
000000235,La peste : texto completo,"Camus, Albert",843/CAM/pe,LITGE
000000284,Taiñ tukulpan kuifike dungun = Recordando nuestra historia,"Coroso Huenchugñir, Florentino",Ch898.3/TAI/ku,LITCH
000000927,La guerra y la paz,"Tolstoy, Léon, graf",891.73/TOL/gu,LITGE
000001386,Doctor Zhivago,"Pasternak, Boris",891.73/PAS/do,LITGE
000001473,Por siempre tango,"Abufhele Halabi, Eduardo",781.55/ABU/si,LITGE
000002276,Bomarzo,"Mujica Láinez, Manuel",A863/MUJ/bo,LITGE
000003617,Ultimo curso en Torres de Malory,"Blyton, Enid",823/BLY/ul,JUVEN
000003618,Quinto grado en Santa Clara,"Blyton, Enid",823/BLY/qu,JUVEN
000004537,El embrujo de la fortuna,"Bourne, Peter",813/BOU/emb,LITGE
000004980,La vida es sueño,"Calderón de la Barca, Pedro",862/CAL/vi,LITGE
000005758,"Bodas de sangre, y, Antología poética : (selección)","García Lorca, Federico",862/GAR/bo,LITGE
000006109,Cantar de Mío Cid,El Cid Campeador,861.03/CID/ca,LITGE
000006130,A sangre fría : relato fidedigno de un asesinato múltiple,"Capote, Truman",813/CAP/sa,LITGE
000006199,"Dónde estás, Constanza --","Rosasco, José Luis",Ch863/ROS/do,LITGE
000006454,París era una fiesta,"Hemingway, Ernest",928.1/HEM/pa,LITGE
000006734,"La vida es sueño ; y, El gran teatro del mundo","Calderón de la Barca, Pedro",862/CAL/vi,LITGE
000006860,La Celestina : tragicomedia de Calisto y Melibea,"Rojas, Fernando de, -",862/ROJ/ce,LITGE
000008908,El Cantar de Mio Cid,El Cid Campeador,861/CAN,LITGE
000009768,Cinco pepitas de naranja ; El mendigo de la cicatriz,"Doyle, Arthur Conan",823/DOY/ci,LITGE
000010216,Poesía selecta,"Manrique, Jorge, -",861.008/MAN/po,LITGE
000010353,La hora veinticinco : versión completa,"Gheorghiu, Constantin Virgil",859.3/GHE/ho,LITGE
000010438,Poesía selecta,"Góngora y Argote, Luis de",861.008/GON/po,LITGE
000010683,La última niebla,"Bombal, María Luisa",Ch863/BOM/ul,LITCH
000010684,La vorágine,"Rivera, José Eustasio",C863/RIV/vo,LITGE
000010717,La vida es sueño : [obra completa],"Calderón de la Barca, Pedro",862/CAL/vi,LITCH
000011285,Marianela,"Pérez Galdós, Benito",863/PER/ma,LITGE
000011448,Condorito,Pepo,741.59/PEP/co,COMIC
000011553,Sub-terra,"Lillo, Baldomero",Ch863/LIL/su,LITCH
000013273,El fantasma de Canterville y otras historias,"Wilde, Oscar",823/WIL/fa,LITGE
000014647,El príncipe y el mendigo,"Twain, Mark",813/TWA/pr,LITGE
000014676,"Simbad el marino y otros cuentos de ""Las mil y una noches""",Simbad el marino. Español,892.73/SIM,LITGE
000015774,Un capitán de quince años,"Verne, Jules",843/VER/ca,LITGE
000017004,La juventud de los ocho primos,"Alcott, Louisa May",813/ALC/ju,LITGE
000018202,Caballo de Troya 4,"Benítez, J. J",863/BEN/ca,LITGE
000018865,Diario,"Oyarzún, Luis",Ch868/OYA/di,LITCH
000019103,Santiago cero,"Franz, Carlos",Ch863/FRA/sa,LITCH
000020765,"Lautaro, joven libertador de Arauco","Alegría, Fernando",Ch863/ALE/la,LITCH
000021082,Un Ratón de biblioteca,"Beuchat, Cecilia",808.899/CEC/ra,LITGE
000021469,Ivanhoe,"Scott, Sir Walter",839.73/LAG/ma,LITGE
000021507,Poemas migratorios,"Cárdenas, Rolando",Ch863/HER/re,INFAN
000021665,El chileno que unió dos continentes,"Camus Riquelme, Francisco",Ch863/CAM/Ch,LITGE
000024008,Diario secreto de Papelucho y el Marciano,"Paz, Marcela",Ch863/PAZ/di,LITGE
000024010,El roto,"Edwards Bello, Joaquín",Ch863/EDW/ro,LITGE
000024465,Lanchas en la bahía,"Rojas, Manuel",Ch863/ROJ/la,LITCH
000024678,El fiscal,"Roa Bastos, Augusto",Pe863/ROA/fi,LITGE
000024719,Cinco semanas en globo,"Verne, Jules",843/VER/ci,LITGE
000025063,El capitán tormenta ; El león de Damasco,"Salgari, Emilio",853/SAL/ca,LITGE
000025273,"Adiós, Mr. Chips","Hilton, James",820/HIL/ad,LITGE
000025279,El trueno entre las hojas y otros cuentos,"Roa Bastos, Augusto",Ch863/SIM/ma,LITCH
000025371,Nada menos que todo un hombre,"Unamuno, Miguel de",863/UNA/na,LITGE
000025399,El castillo negro en el desierto,"Güiraldes, Ana María",Ch861/GUI/ca,LITCH
000025426,Las pantuflas de Stalin y otras historias,"Varas, José Miguel",Ch863/VAR7/pa,LITCH
000026209,Antai : las historias del príncipe de los Licanantai,"Schkolnik, Saúl",Ch863/SCh/an,LITGE
000026315,Miguel Galleguillos Herrera : el patriarca del canto a lo divino,"Galleguillos, Miguel",863/PER/co,LITGE
000026342,"Curicó, 250 años de historia","Ramirez Merino, Oscar, comp",983.332/CUR,REGIO
000026757,El último grumete de la Baquedano,"Coloane, Francisco",Ch863/COL/ul,LITGE
000026923,El extraño caso del doctor Jekyll y de mister Hyde,"Stevenson, Robert Louis",823/STE/ex,LITGE
000026989,Mi planta de naranja-lima,"Vasconcelos, José Mauro de",B869.3/VAS/mi,LITGE
000027227,De la tierra a la luna : viaje en 97 horas y 20 minutos,"Verne, Jules",843/VER/ti,LITGE
000027361,La importancia de llamarse Ernesto ; Un marido ideal,"Wilde, Oscar",822/WIL/im,LITGE
000028226,Sonambulismos,"Lagos de Kassai, María Soledad",Ch863/LAG/so,LITCH
000028752,La amortajada,"Bombal, María Luisa",Ch863/BOM/am,LITCH
000028755,Mama Rosa,"Debesa, Fernando",Ch862/DEB/ma,LITGE
000029012,Ternura,"Mistral, Gabriela",Ch861/MIS/te,LITGE
000029507,La espada mágica,"Solar, Hernán del",Ch863/SOL/es,LITCH
